X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Subject,Activity
5.550750256,-4.864010334,7.323233604,0.007323476952,0.06764229387,0.06737598777,3,Pushups
5.713462353,-4.782654285,7.308876991,0.01584534161,0.06977276504,0.06631075591,3,Pushups
5.689534187,-4.662415028,7.399804115,0.03715000302,0.06018566713,0.04500609636,3,Pushups
5.474180222,-4.624129772,7.466803074,0.06804175675,0.05805519968,0.01624480449,3,Pushups
5.10508728,-4.729413986,7.505686283,0.09147688746,0.05805519968,-0.005059856921,3,Pushups
4.827519894,-4.65762949,7.606184959,0.1010639817,0.05698996782,-0.0146469539,3,Pushups
4.702494621,-4.4518466,7.615756035,0.0904116556,0.04846810177,-0.01571218669,3,Pushups
4.726422787,-4.217350006,7.534400463,0.06910699606,0.02822867595,-0.0114512546,3,Pushups
4.837090969,-4.068396568,7.505686283,0.04993279651,0.009054481052,0.002396774245,3,Pushups
4.966303349,-4.116253376,7.567899704,0.03288906813,-0.01651111245,0.01624480449,3,Pushups
4.995017052,-4.380061626,7.68275547,0.02010627277,-0.037815772,0.03115806542,3,Pushups
4.923232555,-4.801796913,7.677969456,0.02330197208,-0.04527240247,0.05033225939,3,Pushups
4.856233597,-5.333601475,7.572685242,0.03608476743,-0.037815772,0.06950645149,3,Pushups
4.793421745,-5.553741455,7.615756035,0.04354140162,-0.02183727734,0.07376738638,3,Pushups
4.601995945,-5.395814896,7.510472298,0.03715000302,-0.01118494663,0.06098458916,3,Pushups
4.420141697,-5.108078003,7.433303356,0.0243672058,-0.02503297664,0.03754946589,3,Pushups
4.310071945,-4.830510616,7.520043373,0.008388710208,-0.03568530455,0.009853405878,3,Pushups
4.146761417,-4.652843475,7.630113125,-0.007589785382,-0.04846810177,-0.0114512546,3,Pushups
4.103690624,-4.571487427,7.687541008,-0.01078548469,-0.06018566713,-0.01571218669,3,Pushups
4.334000111,-4.748556614,7.706683636,-0.005459319334,-0.05912043154,0.001331541222,3,Pushups
4.702494621,-5.026721954,7.625327587,0.007323476952,-0.037815772,0.02476666868,3,Pushups
4.966303349,-5.170291424,7.577471256,0.01691057347,-0.01651111245,0.04181039706,3,Pushups
5.100301266,-5.122435093,7.428517818,0.01478010789,-0.00798924733,0.056723658,3,Pushups
4.971088886,-5.06500721,7.318448067,0.007323476952,-0.002663082443,0.05885412544,3,Pushups
4.635495663,-4.931009293,7.409375191,-0.000133154128,-0.004793548491,0.04500609636,3,Pushups
4.213760853,-4.777868748,7.520043373,0.001997311832,-0.01864157803,0.01624480449,3,Pushups
4.0127635,-4.676771641,7.539186001,0.01371487509,-0.03675054014,-0.01997311972,3,Pushups
4.084548473,-4.676771641,7.558328629,0.02223674022,-0.05379426852,-0.05725627393,3,Pushups
4.343571186,-4.816154003,7.563114166,0.02117150649,-0.05805519968,-0.07430000603,3,Pushups
4.726422787,-4.902295589,7.495516777,0.005193010904,-0.06018566713,-0.06045197323,3,Pushups
5.057230473,-4.830510616,7.423732281,-0.01824211515,-0.04314193875,-0.02423405088,3,Pushups
5.243870735,-4.65762949,7.342376232,-0.04167724028,-0.006924014539,0.01731003635,3,Pushups
5.224728107,-4.475774765,7.227520943,-0.05872096866,0.01118494663,0.04074516147,3,Pushups
5.085944653,-4.461417675,7.117451191,-0.06404713541,-0.001597849536,0.03967992961,3,Pushups
4.750350952,-4.652843475,7.002595425,-0.0544600375,-0.02716344222,0.01731003635,3,Pushups
4.381856441,-4.998008251,7.060023308,-0.02782921307,-0.04527240247,-0.01677742042,3,Pushups
4.17069006,-5.203791142,7.23230648,0.01584534161,-0.04207670316,-0.05832150951,3,Pushups
4.161118507,-5.021936417,7.299305439,0.04993279651,-0.03142437339,-0.09347419441,3,Pushups
4.343571186,-4.691128731,7.227520943,0.0573894307,-0.03142437339,-0.1019960642,3,Pushups
4.659423828,-4.303491592,7.146164894,0.04993279651,-0.03248960897,-0.08814803511,3,Pushups
4.846662045,-3.886542082,6.963712215,0.02862813696,-0.01118494663,-0.06045197323,3,Pushups
4.89930439,-3.594019651,6.820142746,0.007323476952,0.01118494663,-0.03275591508,3,Pushups
4.846662045,-3.479164124,6.705287457,-0.003328853287,0.02822867595,-0.01677742042,3,Pushups
4.6402812,-3.838685751,6.628716946,0.01051917579,0.03675054014,-0.018907886,3,Pushups
4.310071945,-4.43748951,6.657430649,0.03715000302,0.037815772,-0.04234301299,3,Pushups
4.003192425,-4.811367989,6.743572235,0.07017222792,0.02822867595,-0.07003907114,3,Pushups
3.859622955,-4.916652203,6.724429607,0.1042596847,0.01438064594,-0.09027849883,3,Pushups
3.864408493,-4.883152962,6.662216663,0.1106510833,0.00798924733,-0.09240896255,3,Pushups
4.046263218,-4.581058979,6.600003242,0.09147688746,0.01651111245,-0.07962616533,3,Pushups
4.189832687,-4.197608948,6.537789822,0.07230269164,0.03568530455,-0.06151720881,3,Pushups
4.271188259,-3.867399693,6.393621922,0.06058513001,0.05698996782,-0.05086487532,3,Pushups
4.362713814,-3.771686792,6.442076683,0.06591129303,0.05698996782,-0.05086487532,3,Pushups
4.324428558,-4.020540237,6.623931408,0.09680305421,0.0410114713,-0.06364767253,3,Pushups
4.295714855,-4.528416634,6.714858532,0.141542837,0.03248960897,-0.08495233208,3,Pushups
4.386641979,-5.0793643,6.901498795,0.1798912287,0.02077204362,-0.1126483902,3,Pushups
4.525425911,-5.290530682,7.031309128,0.1905435622,0.0037283157,-0.1382139921,3,Pushups
4.621138573,-4.954937458,7.012166977,0.1681736708,-0.0229025092,-0.1584534049,3,Pushups
4.702494621,-4.394418716,7.02652359,0.1287600398,-0.05059856921,-0.1659100503,3,Pushups
4.793421745,-3.90568471,7.074379921,0.0957378149,-0.06018566713,-0.1659100503,3,Pushups
4.856233597,-3.670589924,7.093522549,0.084020257,-0.05379426852,-0.1488663107,3,Pushups
4.980660439,-3.829114437,7.117451191,0.09147688746,-0.05379426852,-0.1094526947,3,Pushups
5.239085197,-4.461417675,7.112665176,0.1202381775,-0.05059856921,-0.05938674137,3,Pushups
5.455037594,-5.189434052,7.150950432,0.1458037645,-0.03035914153,-0.04127778113,3,Pushups
5.392824173,-5.496313572,7.21794939,0.1447385401,-0.04420717061,-0.06258244067,3,Pushups
5.133800983,-5.170291424,7.261020184,0.1255643368,-0.1027949899,-0.1222354919,3,Pushups
4.625924587,-4.547559261,7.280162811,0.1053249165,-0.163513273,-0.1957365721,3,Pushups
4.122833252,-4.039682865,7.409375191,0.1074553803,-0.199731186,-0.2447372824,3,Pushups
4.103690624,-3.757329702,7.505686283,0.1500647068,-0.1773612946,-0.243672058,3,Pushups
4.707280159,-3.651447296,7.438089371,0.2011958808,-0.1006645188,-0.1946713328,3,Pushups
5.52682209,-3.838685751,7.395018578,0.2214353085,-0.03675054014,-0.1254311949,3,Pushups
6.183053493,-4.025325775,7.356733322,0.2267614752,-0.001597849536,-0.06045197323,3,Pushups
6.178267956,-4.054039955,7.251449108,0.2150439173,0.00798924733,-0.03808208182,3,Pushups
5.464608669,-4.049253941,7.323233604,0.1905435622,-0.01331541315,-0.06151720881,3,Pushups
4.396213531,-3.929612875,7.275377274,0.1713693589,-0.04420717061,-0.1137136221,3,Pushups
3.567100286,-3.924827337,7.064808846,0.162847504,-0.06551183015,-0.168040514,3,Pushups
3.284747362,-4.073182583,7.189235687,0.1649779677,-0.09746882319,-0.1946713328,3,Pushups
3.538386583,-4.058825493,7.342376232,0.1788259894,-0.1358172148,-0.186149478,3,Pushups
4.261617184,-3.939184189,7.227520943,0.1873478591,-0.1560566425,-0.1627143472,3,Pushups
5.267798901,-3.733401537,7.083951473,0.1830869317,-0.1560566425,-0.1371487528,3,Pushups
5.982056618,-3.603590965,6.983452797,0.1745650619,-0.1464695334,-0.117974557,3,Pushups
6.120840549,-3.690330744,6.867999077,0.1660431921,-0.1379476786,-0.1105179265,3,Pushups
5.694319725,-3.857828379,6.824928284,0.1543256342,-0.1613828093,-0.1158440933,3,Pushups
5.062016487,-3.929612875,6.993024349,0.156456098,-0.1922745556,-0.1296921223,3,Pushups
4.802993298,-3.991826296,7.050451756,0.1681736708,-0.2029268891,-0.1360835135,3,Pushups
5.014159679,-4.106681824,7.069594383,0.1766955256,-0.2018616647,-0.1456706226,3,Pushups
5.522036552,-4.197608948,7.261020184,0.1990654171,-0.1922745556,-0.1627143472,3,Pushups
5.910272121,-4.149752617,7.18445015,0.2107829899,-0.163513273,-0.1669752747,3,Pushups
6.005984783,-3.958326817,7.160521984,0.2065220475,-0.1091863886,-0.14993155,3,Pushups
5.622535229,-3.685544968,7.122236729,0.1958697289,-0.02929390781,-0.117974557,3,Pushups
4.870590687,-3.617947817,6.93978405,0.1681736708,0.02822867595,-0.09347419441,3,Pushups
4.362713814,-3.742972851,7.060023308,0.1426080763,0.05912043154,-0.08814803511,3,Pushups
4.04147768,-3.833899975,7.351947784,0.1191729456,0.04953333735,-0.1105179265,3,Pushups
3.806980848,-3.881756544,7.534400463,0.09680305421,-0.0229025092,-0.1520620137,3,Pushups
3.830909014,-3.977469444,7.725826263,0.09786828607,-0.08788172156,-0.1893451661,3,Pushups
4.14197588,-3.853042603,7.572685242,0.09254211932,-0.1038602218,-0.1978670359,3,Pushups
4.678566456,-3.685544968,7.174878597,0.08721595258,-0.07829462737,-0.1637795717,3,Pushups
5.330012321,-3.560520172,6.906284332,0.1063901484,-0.009054481052,-0.1051917598,3,Pushups
5.871388435,-3.637090445,6.738786697,0.1351514459,0.08149032295,-0.02636451647,3,Pushups
6.116054535,-3.867399693,6.877570629,0.1585865617,0.1528609395,0.01624480449,3,Pushups
5.823532104,-3.977469444,7.222734928,0.1404775977,0.1496652365,-0.005059856921,3,Pushups
4.985445976,-4.063611031,7.505686283,0.1244991124,0.1006645188,-0.06258244067,3,Pushups
4.055834293,-3.991826296,7.912466049,0.1287600398,0.04527240247,-0.1254311949,3,Pushups
